Name,Distance_Mpc,N_points,R_max_kpc,V_max_obs,M_baryon_est,Efficiency,Chi2_Newton,Chi2_DSO,Chi2dof_Newton,Chi2dof_DSO,Improvement,RMS_Newton,RMS_DSO,Within2sigma
CamB,3.36,9,1.79,20.1,1.12e+08,0.0000,85.26,85.26,10.66,10.66,1.00,4.6,4.6,0.333
D564-8,8.79,6,3.07,25.0,7.71e+07,0.0000,171.08,171.08,34.22,34.22,1.00,10.0,10.0,0.167
D631-7,7.72,16,7.19,58.5,6.59e+08,0.0005,1408.10,1407.81,93.87,93.85,1.00,24.6,24.6,0.188
DDO064,6.8,14,2.98,46.9,5.46e+08,0.0003,117.32,117.28,9.02,9.02,1.00,14.6,14.6,0.357
DDO154,4.04,12,5.92,48.2,3.91e+08,0.0002,5837.28,5836.81,530.66,530.62,1.00,22.7,22.7,0.083
DDO161,7.5,31,13.37,67.5,2.98e+09,0.0098,8842.60,8761.20,294.75,292.04,1.01,21.3,21.2,0.323
DDO168,4.25,10,4.12,55.0,7.52e+08,0.0006,1249.10,1248.41,138.79,138.71,1.00,18.8,18.8,0.200
DDO170,15.4,8,12.33,62.2,2.42e+09,0.0065,3927.75,3906.26,561.11,558.04,1.01,24.5,24.5,0.000
ESO079-G014,28.7,15,16.67,178.0,6.62e+10,0.8294,1654.38,149.61,118.17,10.69,11.06,28.9,16.2,0.600
ESO116-G012,13.0,15,9.86,112.0,7.53e+09,0.0593,2783.66,2617.56,198.83,186.97,1.06,34.3,33.2,0.267
ESO444-G084,4.83,7,4.44,63.1,2.91e+08,0.0001,1807.77,1807.73,301.30,301.29,1.00,31.7,31.7,0.000
ESO563-G021,60.8,30,42.41,321.0,3.82e+11,0.9939,1805.26,721.30,62.25,24.87,2.50,62.9,32.9,0.633
F561-1,66.4,6,9.66,50.4,7.41e+09,0.0575,3.73,6.03,0.75,1.21,0.62,4.4,5.4,1.000
F563-1,48.9,17,20.10,112.5,8.11e+09,0.0681,453.43,439.60,28.34,27.47,1.03,57.2,56.4,0.118
F563-V1,54.0,6,7.87,29.5,1.74e+09,0.0034,0.87,0.89,0.17,0.18,0.97,1.9,1.9,1.000
F563-V2,59.7,10,10.47,118.0,7.28e+09,0.0557,163.94,159.54,18.22,17.73,1.03,51.1,50.0,0.300
F565-V2,51.8,7,8.80,83.1,2.22e+09,0.0054,259.92,258.83,43.32,43.14,1.00,37.8,37.7,0.286
F567-2,79.0,5,9.59,52.2,3.74e+09,0.0153,17.74,17.17,4.43,4.29,1.03,11.0,10.8,0.600
F568-1,90.7,12,13.23,142.0,1.46e+10,0.1912,345.22,304.93,31.38,27.72,1.13,59.5,55.8,0.167
F568-3,82.4,18,17.98,120.0,1.64e+10,0.2296,273.72,234.59,16.10,13.80,1.17,33.9,30.6,0.222
F568-V1,80.6,15,17.63,118.0,9.82e+09,0.0967,473.53,465.14,33.82,33.22,1.02,55.1,54.3,0.133
F571-8,53.3,13,15.55,144.0,1.16e+10,0.1294,1600.76,1519.16,133.40,126.60,1.05,47.9,46.5,0.000
F571-V1,80.1,7,13.59,84.3,4.85e+09,0.0255,206.23,201.62,34.37,33.60,1.02,33.7,33.3,0.286
F574-1,96.8,14,12.60,99.7,1.00e+10,0.1003,889.95,796.32,68.46,61.26,1.12,36.4,34.5,0.143
F574-2,89.1,5,10.83,40.0,5.32e+09,0.0305,3.36,3.89,0.84,0.97,0.86,7.3,7.8,1.000
F579-V1,89.5,14,15.16,114.0,1.81e+10,0.2666,192.10,160.41,14.78,12.34,1.20,38.6,35.2,0.143
F583-1,35.4,25,16.26,86.9,7.02e+09,0.0519,905.98,888.52,37.75,37.02,1.02,32.8,32.4,0.200
F583-4,53.3,12,7.29,69.9,2.71e+09,0.0081,209.30,206.53,19.03,18.78,1.01,19.0,18.9,0.250
IC2574,3.91,34,10.23,67.5,3.12e+09,0.0107,3566.17,3513.19,108.07,106.46,1.02,18.9,18.7,0.176
IC4202,100.4,32,25.90,250.0,2.27e+11,0.9828,1850.47,2761.59,59.69,89.08,0.67,35.2,41.8,0.250
KK98-251,6.8,15,3.13,34.6,3.33e+08,0.0001,228.24,228.19,16.30,16.30,1.00,7.8,7.8,0.267
